lemma,clue,source
avoir,Posséder,bliss-authored
avoir,"Bien, patrimoine",bliss-authored
ese,"Direction, entre est et sud",bliss-authored
ese,Point de la rose des vents,bliss-authored
rire,S'esclaffer,bliss-authored
rire,Manifester sa gaieté,bliss-authored
ses,Adjectif possessif pluriel,bliss-authored
ses,"Les siens, à lui",bliss-authored
ère,"Époque, période",bliss-authored
ère,Grande division du temps,bliss-authored
savoir,Connaître,bliss-authored
savoir,"Érudition, science acquise",bliss-authored
sse,Terminaison du subjonctif imparfait,bliss-authored
sse,Suffixe de noms féminins,bliss-authored
ire,"Colère, en vieux français",bliss-authored
ire,Courroux,bliss-authored
es,"Existes, deuxième personne",bliss-authored
es,"Mi bémol, en allemand",bliss-authored
être,Exister,bliss-authored
être,Créature vivante,bliss-authored
se,Pronom réfléchi,bliss-authored
se,Particule pronominale,bliss-authored
aérer,Ventiler,bliss-authored
aérer,Renouveler l'atmosphère,bliss-authored
rai,Rayon de roue,bliss-authored
rai,Trait de lumière,bliss-authored
are,Cent mètres carrés,bliss-authored
are,Mesure agraire,bliss-authored
est,Point cardinal,bliss-authored
est,Là où le soleil se lève,bliss-authored
re,Note de musique,bliss-authored
re,Préfixe de répétition,bliss-authored
oser,Se risquer,bliss-authored
oser,Avoir l'audace,bliss-authored
ose,Prend un risque,bliss-authored
ose,Suffixe des sucres,bliss-authored
ras,Coupé très court,bliss-authored
ras,À fleur de peau,bliss-authored
ris,Abat blanc de veau,bliss-authored
ris,Pli qu'on prend à une voile,bliss-authored
les,Article défini pluriel,bliss-authored
les,Devant un nom au pluriel,bliss-authored
si,Note de musique,bliss-authored
si,"Condition, hypothèse",bliss-authored
ce,Adjectif démonstratif,bliss-authored
ce,Devant un nom masculin,bliss-authored
êta,Lettre grecque,bliss-authored
êta,Septième de l'alphabet grec,bliss-authored
été,Saison chaude,bliss-authored
été,La belle saison,bliss-authored
ir,Symbole de l'iridium,bliss-authored
ir,Fin des verbes du deuxième groupe,bliss-authored
aller,Se rendre quelque part,bliss-authored
aller,"Trajet, opposé au retour",bliss-authored
ter,"Trois fois, en musique",bliss-authored
ter,Redoublement d'un numéro,bliss-authored
et,Conjonction de coordination,bliss-authored
et,Lie deux mots,bliss-authored
ami,Camarade,bliss-authored
ami,Personne que l'on aime bien,bliss-authored
ste,Suffixe de métiers,bliss-authored
ste,Terminaison d'agent,bliss-authored
sas,Compartiment étanche,bliss-authored
sas,Petite pièce entre deux portes,bliss-authored
ar,Symbole de l'argon,bliss-authored
ar,"Gaz rare, en chimie",bliss-authored
en,Préposition de lieu,bliss-authored
en,"Pronom, j'en veux",bliss-authored
psi,Lettre grecque,bliss-authored
psi,Vingt-troisième de l'alphabet grec,bliss-authored
cet,Adjectif démonstratif,bliss-authored
cet,Précède un nom masculin,bliss-authored
II,Deux en chiffres romains,bliss-authored
II,Nombre romain,bliss-authored
ia,Sigle de l'intelligence artificielle,bliss-authored
ia,Cri de l'âne,bliss-authored
air,Gaz que l'on respire,bliss-authored
air,"Mélodie, chanson",bliss-authored
té,Équerre en T du dessinateur,bliss-authored
té,"La lettre T, prononcée",bliss-authored
suer,Transpirer,bliss-authored
suer,"Peiner, se donner du mal",bliss-authored
me,Pronom personnel,bliss-authored
me,"Complément, à moi",bliss-authored
ne,Adverbe de négation,bliss-authored
ne,Première partie d'une négation,bliss-authored
ci,Adverbe de lieu proche,bliss-authored
ci,Renforce un démonstratif,bliss-authored
sec,Sans humidité,bliss-authored
sec,Aride,bliss-authored
île,Terre entourée d'eau,bliss-authored
île,Terre isolée en mer,bliss-authored
ans,Années d'âge,bliss-authored
ans,Mesure du temps qui passe,bliss-authored
as,Carte maîtresse au jeu,bliss-authored
as,"Champion, virtuose",bliss-authored
ra,Roulement de tambour,bliss-authored
ra,Dieu-soleil des Égyptiens,bliss-authored
ene,Terminaison d'hydrocarbures,bliss-authored
ene,Suffixe chimique des alcènes,bliss-authored
ôter,Enlever,bliss-authored
ôter,Retirer,bliss-authored
ici,En ce lieu,bliss-authored
ici,À cet endroit,bliss-authored
ue,Sigle de l'Union européenne,bliss-authored
ue,Fin de mots féminins,bliss-authored
aïe,Cri de douleur,bliss-authored
aïe,Interjection de souffrance,bliss-authored
tri,"Sélection, classement",bliss-authored
tri,Action de séparer,bliss-authored
lire,Déchiffrer un écrit,bliss-authored
lire,Ancienne monnaie italienne,bliss-authored
rat,Rongeur,bliss-authored
rat,Animal des égouts,bliss-authored
user,Détériorer par l'usage,bliss-authored
user,Se servir de,bliss-authored
sa,Adjectif possessif féminin,bliss-authored
sa,"À elle, à lui",bliss-authored
pré,"Prairie, pâturage",bliss-authored
pré,Préfixe signifiant avant,bliss-authored
ti,Note de musique anglo-saxonne,bliss-authored
ti,"Petit, en créole",bliss-authored
sur,Au-dessus de,bliss-authored
sur,"Aigre, un peu acide",bliss-authored
dire,Exprimer par la parole,bliss-authored
dire,"Énoncer, déclarer",bliss-authored
pie,Oiseau bavard noir et blanc,bliss-authored
pie,Cheval à robe tachetée,bliss-authored
rue,Voie urbaine,bliss-authored
rue,Plante médicinale odorante,bliss-authored
cri,Éclat de voix,bliss-authored
cri,Clameur,bliss-authored
aa,Lave rugueuse hawaïenne,bliss-authored
aa,Type de coulée volcanique,bliss-authored
mer,Étendue d'eau salée,bliss-authored
mer,Vaste espace marin,bliss-authored
ta,Adjectif possessif féminin,bliss-authored
ta,À toi,bliss-authored
eut,"Posséda, au passé simple",bliss-authored
eut,Reçut jadis,bliss-authored
ria,Vallée envahie par la mer,bliss-authored
ria,"S'esclaffa, jadis",bliss-authored
oie,Oiseau de basse-cour,bliss-authored
oie,Palmipède de la ferme,bliss-authored
sc,Symbole du scandium,bliss-authored
sc,Abréviation de scène,bliss-authored
os,Pièce du squelette,bliss-authored
os,Difficulté imprévue,bliss-authored
âme,Principe spirituel,bliss-authored
âme,Siège de la vie intérieure,bliss-authored
mettre,"Placer, poser",bliss-authored
mettre,"Disposer, installer",bliss-authored
léa,Prénom féminin,bliss-authored
léa,"Fille aînée de Laban, dans la Bible",bliss-authored
eau,Liquide transparent,bliss-authored
eau,Ce qui coule du robinet,bliss-authored
ap,Abréviation d'appartement,bliss-authored
ap,Sigle de l'Assistance publique,bliss-authored
éli,Prénom masculin de la Bible,bliss-authored
éli,Grand prêtre qui éleva Samuel,bliss-authored
ni,Conjonction négative,bliss-authored
ni,Pas plus l'un que l'autre,bliss-authored
tas,Amoncellement,bliss-authored
tas,Grande quantité,bliss-authored
ca,Symbole du calcium,bliss-authored
ca,"Cela, en raccourci",bliss-authored
ns,Symbole de la nanoseconde,bliss-authored
ns,Durée très brève,bliss-authored
ils,Pronom pluriel masculin,bliss-authored
ils,"Eux, en sujet",bliss-authored
cr,Symbole du chrome,bliss-authored
cr,"Crédit, en comptabilité",bliss-authored
le,Article défini masculin,bliss-authored
le,Devant un nom masculin,bliss-authored
âne,Animal aux longues oreilles,bliss-authored
âne,Bête de somme têtue,bliss-authored
esse,Crochet en forme de S,bliss-authored
esse,Suffixe formant des féminins,bliss-authored
ost,Armée du Moyen Âge,bliss-authored
ost,Service militaire féodal,bliss-authored
raser,Tondre de très près,bliss-authored
raser,"Ennuyer, en langage familier",bliss-authored
iii,Trois en chiffres romains,bliss-authored
iii,"Nombre romain, entre II et IV",bliss-authored
tir,Action de lancer un projectile,bliss-authored
tir,Coup de feu,bliss-authored
faire,"Fabriquer, réaliser",bliss-authored
faire,"Accomplir, exécuter",bliss-authored
lie,Dépôt au fond du vin,bliss-authored
lie,"Rebut, bas-fond",bliss-authored
it,Sujet neutre anglais,bliss-authored
it,Fin de verbe à la troisième personne,bliss-authored
noé,Patriarche de l'arche,bliss-authored
noé,Constructeur biblique de l'arche,bliss-authored
atm,Ancienne unité de pression,bliss-authored
atm,"Pression atmosphérique, en symbole",bliss-authored
ge,Symbole du germanium,bliss-authored
ge,Élément chimique numéro 32,bliss-authored
roi,Souverain,bliss-authored
roi,"Monarque, chef d'État",bliss-authored
st,Abréviation de saint,bliss-authored
st,Devant le nom d'un canonisé,bliss-authored
rer,Train de banlieue parisienne,bliss-authored
rer,Métro express francilien (sigle),bliss-authored
dé,Cube à jouer,bliss-authored
dé,Protège-doigt de couturière,bliss-authored
parer,"Orner, embellir",bliss-authored
parer,Éviter un coup,bliss-authored
usa,Pays de l'Oncle Sam,bliss-authored
usa,Grande puissance nord-américaine,bliss-authored
art,"Peinture, sculpture, etc",bliss-authored
art,Expression du beau,bliss-authored
épier,Observer en cachette,bliss-authored
épier,Surveiller discrètement,bliss-authored
créer,Donner naissance à,bliss-authored
créer,"Concevoir, inventer",bliss-authored
cep,Pied de vigne,bliss-authored
cep,Souche portant le raisin,bliss-authored
