lemma_a,lemma_b
ABAISSER,BAISSER
ABAISSER,RABAISSER
ABANDON,ABANDONNER
ABAT,ABATTRE
ABATTAGE,ABATTEMENT
ABATTAGE,ABATTRE
ABATTEMENT,ABATTRE
ABATTRE,RABATTRE
ABDICATION,ABDIQUER
ABJURATION,ABJURER
ABOLIR,ABOLITION
ABOLITION,ABOLITIONNISTE
ABORD,ABORDER
ABORDAGE,ABORDER
ABORDER,BORD
ABOUTIR,ABOUTISSEMENT
ABREGE,ABREGER
ABRI,ABRITER
ABRUTIR,ABRUTISSEMENT
ABSENT,ABSENTEISME
ABSOLU,ABSOLUTISME
ABSOLU,ABSOLUTISTE
ABSORBER,ABSORPTION
ABSURDE,ABSURDITE
ABUS,ABUSER
ABUS,ABUSIF
ABUSER,ABUSIF
ACADEMIE,ACADEMIQUE
ACCABLANT,ACCABLER
ACCABLEMENT,ACCABLER
ACCAPAREMENT,ACCAPARER
ACCEDER,ACCES
ACCEDER,ACCESSION
ACCELERATEUR,ACCELERATION
ACCELERATEUR,ACCELERER
ACCELERATION,ACCELERER
ACCENT,ACCENTUER
ACCENTUATION,ACCENTUER
ACCEPTABILITE,ACCEPTABLE
ACCEPTABLE,ACCEPTER
ACCEPTABLE,INACCEPTABLE
ACCEPTATION,ACCEPTER
ACCEPTER,ACCEPTION
ACCESSIBLE,INACCESSIBLE
ACCIDENT,ACCIDENTEL
ACCLIMATATION,ACCLIMATER
ACCLIMATEMENT,ACCLIMATER
ACCLIMATER,CLIMAT
ACCOMMODATION,ACCOMMODER
ACCOMMODEMENT,ACCOMMODER
ACCOMMODER,COMMODE
ACCOMMODER,RACCOMMODER
ACCOMPAGNATEUR,ACCOMPAGNER
ACCOMPAGNEMENT,ACCOMPAGNER
ACCOMPAGNER,COMPAGNIE
ACCOMPLIR,ACCOMPLISSEMENT
ACCORD,ACCORDER
ACCORDER,CORDE
ACCORDER,RACCORDER
ACCOUCHEMENT,ACCOUCHER
ACCOUCHEMENT,ACCOUCHEUR
ACCOUCHER,ACCOUCHEUR
ACCOUPLEMENT,ACCOUPLER
ACCOUTUMANCE,ACCOUTUMER
ACCOUTUMER,COUTUME
ACCROCHAGE,ACCROCHER
ACCROCHE,ACCROCHER
ACCROCHER,RACCROCHER
ACCROISSEMENT,ACCROITRE
ACCUEIL,ACCUEILLIR
ACCUEILLANT,ACCUEILLIR
ACCUMULATEUR,ACCUMULATION
ACCUMULATEUR,ACCUMULER
ACCUMULATION,ACCUMULER
ACCUSATEUR,ACCUSATION
ACCUSATEUR,ACCUSER
ACCUSATION,ACCUSER
ACCUSE,ACCUSER
ACHARNE,ACHARNER
ACHARNEMENT,ACHARNER
