word,language,length,frequency,difficulty,clue,source,source_license,lemma
tv,fr,2,100000,,Télévision,bliss,CC0-1.0,
fm,fr,2,100000,,Bande radio,bliss,CC0-1.0,
hd,fr,2,100000,,Haute définition,bliss,CC0-1.0,
bd,fr,2,100000,,Bande dessinée,bliss,CC0-1.0,
bo,fr,2,100000,,Bande originale,bliss,CC0-1.0,
vo,fr,2,100000,,Version originale,bliss,CC0-1.0,
vf,fr,2,100000,,Version française,bliss,CC0-1.0,
sf,fr,2,100000,,Science-fiction,bliss,CC0-1.0,
pq,fr,2,100000,,Papier toilette,bliss,CC0-1.0,
wc,fr,2,100000,,Toilettes,bliss,CC0-1.0,
ht,fr,2,100000,,Hors taxes,bliss,CC0-1.0,
cp,fr,2,100000,,Cours préparatoire,bliss,CC0-1.0,
ue,fr,2,100000,,Union européenne,bliss,CC0-1.0,
om,fr,2,100000,,Club marseillais,bliss,CC0-1.0,
ol,fr,2,100000,,Club lyonnais,bliss,CC0-1.0,
ttc,fr,3,100000,,Tout compris,bliss,CC0-1.0,
tva,fr,3,100000,,Taxe sur achats,bliss,CC0-1.0,
rtt,fr,3,100000,,Récup horaire,bliss,CC0-1.0,
cdd,fr,3,100000,,Contrat court,bliss,CC0-1.0,
cdi,fr,3,100000,,Contrat permanent,bliss,CC0-1.0,
hlm,fr,3,100000,,Logement social,bliss,CC0-1.0,
bac,fr,3,100000,,Baccalauréat,bliss,CC0-1.0,
bts,fr,3,100000,,Diplôme technique,bliss,CC0-1.0,
bep,fr,3,100000,,Brevet pro,bliss,CC0-1.0,
iut,fr,3,100000,,École technique,bliss,CC0-1.0,
ena,fr,3,100000,,École prestigieuse,bliss,CC0-1.0,
onu,fr,3,100000,,Forum international,bliss,CC0-1.0,
ong,fr,3,100000,,Organisation humanitaire,bliss,CC0-1.0,
oms,fr,3,100000,,Santé mondiale,bliss,CC0-1.0,
edf,fr,3,100000,,Électricien national,bliss,CC0-1.0,
irm,fr,3,100000,,Imagerie médicale,bliss,CC0-1.0,
adn,fr,3,100000,,Code génétique,bliss,CC0-1.0,
arn,fr,3,100000,,Acide nucléique,bliss,CC0-1.0,
vih,fr,3,100000,,Virus immunitaire,bliss,CC0-1.0,
fiv,fr,3,100000,,Procréation médicale,bliss,CC0-1.0,
ist,fr,3,100000,,Maladie transmissible,bliss,CC0-1.0,
avc,fr,3,100000,,Attaque cérébrale,bliss,CC0-1.0,
imc,fr,3,100000,,Mesure corporelle,bliss,CC0-1.0,
ivg,fr,3,100000,,Procédure médicale,bliss,CC0-1.0,
tgv,fr,3,100000,,Train rapide,bliss,CC0-1.0,
rer,fr,3,100000,,Réseau parisien,bliss,CC0-1.0,
suv,fr,3,100000,,Gros véhicule,bliss,CC0-1.0,
psg,fr,3,100000,,Club parisien,bliss,CC0-1.0,
sncf,fr,4,100000,,Chemins de fer français,bliss,CC0-1.0,
ratp,fr,4,100000,,Métro parisien,bliss,CC0-1.0,
urss,fr,4,100000,,Ex-empire soviétique,bliss,CC0-1.0,
smic,fr,4,100000,,Salaire minimum,bliss,CC0-1.0,
cnrs,fr,4,100000,,Organisme de recherche,bliss,CC0-1.0,
samu,fr,4,100000,,Urgences médicales,bliss,CC0-1.0,
opep,fr,4,100000,,Cartel du pétrole,bliss,CC0-1.0,
asse,fr,4,100000,,Club stéphanois,bliss,CC0-1.0,
losc,fr,4,100000,,Club lillois,bliss,CC0-1.0,
cia,fr,3,100000,,Renseignement américain,bliss,CC0-1.0,
fbi,fr,3,100000,,Police fédérale américaine,bliss,CC0-1.0,
kgb,fr,3,100000,,Ex-espionnage soviétique,bliss,CC0-1.0,
pme,fr,3,100000,,Petite entreprise,bliss,CC0-1.0,
pmu,fr,3,100000,,Paris sur les courses,bliss,CC0-1.0,
vtt,fr,3,100000,,Vélo tout-terrain,bliss,CC0-1.0,
sdf,fr,3,100000,,Sans domicile,bliss,CC0-1.0,
sos,fr,3,100000,,Appel de détresse,bliss,CC0-1.0,
pib,fr,3,100000,,Richesse d'un pays,bliss,CC0-1.0,
fmi,fr,3,100000,,Fonds monétaire international,bliss,CC0-1.0,
pdg,fr,3,100000,,Patron d'entreprise,bliss,CC0-1.0,
cac,fr,3,100000,,Indice de la Bourse de Paris,bliss,CC0-1.0,
spa,fr,3,100000,,Protège les animaux,bliss,CC0-1.0,
qi,fr,2,100000,,Quotient intellectuel,bliss,CC0-1.0,
rn,fr,2,100000,,Symbole du radon,bliss,CC0-1.0,
jo,fr,2,100000,,Compétition sportive mondiale,bliss,CC0-1.0,
ovni,fr,4,100000,,Objet volant non identifié,bliss,CC0-1.0,
fnac,fr,4,100000,,Enseigne culturelle,bliss,CC0-1.0,
